骼,gé,骼,"bone"
髏,lóu,髅,"skull"
髒,zāng,脏,"dirty"
髓,suǐ,髓,"bone marrow"
髦,máo,髦,"fashionable"
髭,zī,髭,"beard"
髯,rán,髯,"mustache"
髻,jì,髻,"hair knot"
鬃,zōng,鬃,"mane"
鬆,sōng,松,"loose"
鬍,hú,胡,"beard"
鬚,xū,须,"mustache"
鬢,bìn,鬓,"sideburns"
鬧,nào,闹,"to make noise"
鬱,yù,郁,"depressed"
